From Every Tear A Pearl Is Born,Lili Rocha,IdEA,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('1','From Every Tear A Pearl Is Born','Lili Rocha','IdEA')",,1
Spectrum,Zedd Featuring Matthew Koma,Interscope,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('2','Spectrum','Zedd Featuring Matthew Koma','Interscope')",,2
La Belle Et La Bête,Amanda Lear Featuring Andy Bell And DJ Yiannis,BoomLover/Universal France,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('3','La Belle Et La Bête','Amanda Lear Featuring Andy Bell And DJ Yiannis','BoomLover/Universal France')",,3
Move In The Right Direction,Gossip,Columbia,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('4','Move In The Right Direction','Gossip','Columbia')",,4
Touch Me,Katharine McPhee,NBC /Columbia,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('5','Touch Me','Katharine McPhee','NBC /Columbia')",,5
Perfect World,Gossip,Columbia,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('6','Perfect World','Gossip','Columbia')",,6
Let’s Get It Started,Adriana Rubiano,Phatt Boi,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('7','Let’s Get It Started','Adriana Rubiano','Phatt Boi')",,7
DJ Love Song,Shyra Sanchez,Super Shy,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('8','DJ Love Song','Shyra Sanchez','Super Shy')",,8
Be Your Freak,Kenny Dope Featuring Josh Milan,Dope Wax,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('9','Be Your Freak','Kenny Dope Featuring Josh Milan','Dope Wax')",,9
End of Time,Beyonce,Parkwood/Columbia,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('10','End of Time','Beyonce','Parkwood/Columbia')",,10
Blush,Dance On,Nettwerk,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('11','Blush','Dance On','Nettwerk')",,11
Hotel Nacional,Gloria Estefan,Crescent Moon / Verve,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('12','Hotel Nacional','Gloria Estefan','Crescent Moon / Verve')",,12
Let's Get Naughty,Jessie And The Toy Boys,Prospect,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('13','Let's Get Naughty','Jessie And The Toy Boys','Prospect')",,13
Erasure,Be With You,Mute,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('14','Erasure','Be With You','Mute')",,14
Wepa,Gloria Estefan,Crescent Moon,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('15','Wepa','Gloria Estefan','Crescent Moon')",,15
I Like Shoppin,Tené Williams,SMG/Universal,"INSERT INTO  `DISCOG` (  `ID` ,  `TRACK` ,  `ARTIST` ,  `LABEL` )","VALUES ('16','I Like Shoppin','Tené Williams','SMG/Universal')",,16
